no,channel,subs,views,date,like,hate,review
124,이영호FlaSh,265000,"27,986",2020.7.25.,291,12,61
125,이영호FlaSh,265000,"19,323",2020.7.25.,115,7,45
126,이영호FlaSh,265000,"45,019",2020.7.24.,243,24,78
127,이영호FlaSh,265000,"63,821",2020.7.23.,339,15,135
128,이영호FlaSh,265000,"22,332",2020.7.22.,190,4,40
129,이영호FlaSh,265000,"43,527",2020.7.22.,268,10,65
130,이영호FlaSh,265000,"46,056",2020.7.22.,341,8,43
131,이영호FlaSh,265000,"42,582",2020.7.21.,206,13,130
132,이영호FlaSh,265000,"35,551",2020.7.21.,184,8,29
133,이영호FlaSh,265000,"32,887",2020.7.21.,168,11,29
134,이영호FlaSh,265000,"33,324",2020.7.21.,164,7,40
135,이영호FlaSh,265000,"50,370",2020.7.21.,300,19,85
136,이영호FlaSh,265000,"24,611",2020.7.19.,155,8,41
137,이영호FlaSh,265000,"64,195",2020.7.19.,359,16,103
138,이영호FlaSh,265000,"40,667",2020.7.18.,296,21,56
139,이영호FlaSh,265000,"63,369",2020.7.16.,306,26,52
140,이영호FlaSh,265000,"115,284",2020.7.16.,517,43,189
141,런민기,142000,"160,252",2020.7.27.,3000,76,"1,149"
142,런민기,142000,"262,369",2020.7.26.,3400,107,"1,635"
143,런민기,142000,"197,184",2020.7.25.,3000,90,820
144,런민기,142000,"430,255",2020.7.24.,5800,168,"1,815"
145,런민기,142000,"109,209",2020.7.23.,1900,37,689
146,런민기,142000,"351,009",2020.7.22.,4700,134,"1,257"
147,런민기,142000,"192,058",2020.7.21.,3400,94,781
148,런민기,142000,"250,467",2020.7.20.,3400,128,884
149,런민기,142000,"225,660",2020.7.19.,3300,90,"1,284"
150,런민기,142000,"346,820",2020.7.18.,4900,130,"1,470"
151,런민기,142000,"378,712",2020.7.17.,4700,136,"1,201"
152,런민기,142000,"566,841",2020.7.16.,7700,264,"1,458"
153,런민기,142000,"366,065",2020.7.15.,5300,144,"1,041"
154,런민기,142000,"476,871",2020.7.14.,6100,170,"1,072"
155,런민기,142000,"434,250",2020.7.13.,6500,157,"1,714"
